repo_name,status,classification,openrank_07,stars,trend,language,created_at,description,topics,repo_id,forks,,notes,,,,,,,,,,,,,repo_name
n8n-io/n8n,-,Agent Workflow Platform,281,126659,"[159, 197, 233, 262, 274, 280, 281]",TypeScript,2019-06-22,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.","ai,apis,automation,cli,data-flow,development,integration-framework,integrations,ipaas,low-code,low-code-platform,mcp,mcp-client,mcp-server,n8n,no-code,self-hosted,typescript,workflow,workflow-automation",193215554,38752,,,,,,,,,,,,,,,n8n-io/n8n
infiniflow/ragflow,-,Agent Workflow Platform,161,61640,"[133, 190, 260, 247, 216, 184, 161]",Python,2023-12-12,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,"agent,agentic,agentic-ai,agentic-workflow,ai,ai-search,deep-learning,deep-research,deepseek,deepseek-r1,document-parser,document-understanding,graphrag,llm,mcp,multi-agent,ollama,openai,rag,retrieval-augmented-generation",730534580,6253,,,,,,,,,,,,,,,infiniflow/ragflow
langflow-ai/langflow,new,Agent Workflow Platform,143,95122,"[171, 169, 160, 164, 160, 151, 143]",Python,2023-02-08,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,"agents,chatgpt,generative-ai,large-language-models,multiagent,react-flow",599320067,7251,,,,,,,,,,,,,,,langflow-ai/langflow
mastra-ai/mastra,new,Agent Workflow Platform,135,15510,"[26, 47, 79, 98, 115, 125, 135]",TypeScript,2024-08-06,"The TypeScript AI agent framework. ⚡ Assistants, RAG, observability. Supports any LLM: GPT-4, Claude, Gemini, Llama.","agents,ai,chatbots,evals,javascript,llm,mcp,nextjs,nodejs,reactjs,tts,typescript,workflows",839037098,980,,,,,,,,,,,,,,,mastra-ai/mastra
activepieces/activepieces,new,Agent Workflow Platform,71,16124,"[51, 47, 48, 55, 66, 66, 71]",TypeScript,2022-12-03,AI Agents & MCPs & AI Workflow Automation • (280+ MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for AI Agents,"ai-agent,ai-agent-tools,ai-agents,ai-agents-framework,mcp,mcp-server,mcp-tools,mcps,n8n-alternative,no-code-automation,workflow,workflow-automation,workflows",573661753,2288,,,,,,,,,,,,,,,activepieces/activepieces
1Panel-dev/MaxKB,-,Agent Workflow Platform,55,17523,"[54, 80, 81, 80, 71, 59, 55]",Python,2023-09-14,🔥 MaxKB is an open-source platform for building enterprise-grade agents.  MaxKB 是强大易用的开源企业级智能体平台。,"agent,agentic-ai,chatbot,deepseek-r1,knowledgebase,langchain,llama3,llm,maxkb,mcp-server,ollama,pgvector,qwen3,rag",691347156,2278,,,,,,,,,,,,,,,1Panel-dev/MaxKB
labring/FastGPT,-,Agent Workflow Platform,50,25366,"[74, 86, 101, 94, 79, 63, 50]",TypeScript,2023-02-23,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.","agent,claude,deepseek,llm,mcp,nextjs,openai,qwen,rag,workflow",605673387,6506,,,,,,,,,,,,,,,labring/FastGPT
FlowiseAI/Flowise,-,Agent Workflow Platform,49,42264,"[61, 57, 48, 47, 47, 51, 49]",TypeScript,2023-03-31,"Build AI Agents, Visually","agentic-ai,agentic-workflow,agents,artificial-intelligence,chatbot,chatgpt,javascript,langchain,large-language-models,low-code,multiagent-systems,no-code,openai,rag,react,typescript,workflow-automation",621803253,21671,,,,,,,,,,,,,,,FlowiseAI/Flowise
google-gemini/gemini-cli,new,AI Coding,391,66881,"[191, 391]",TypeScript,2025-04-17,An open-source AI agent that brings the power of Gemini directly into your terminal.,"gemini,gemini-api",968197216,6491,,,,,,,,,,,,,,,google-gemini/gemini-cli
sst/opencode,new,AI Coding,195,17071,"[19, 102, 195]",Go,2025-04-30,"AI coding agent, built for the terminal.",,975734319,1060,,,,,,,,,,,,,,,sst/opencode
cline/cline,-,AI Coding,181,48658,"[109, 133, 147, 163, 184, 175, 181]",TypeScript,2024-07-06,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",,824874689,6532,,,,,,,,,,,,,,,cline/cline
block/goose,new,AI Coding,139,18122,"[71, 93, 98, 110, 118, 126, 139]",Rust,2024-08-23,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",,846698999,1541,,,,,,,,,,,,,,,block/goose
continuedev/continue,-,AI Coding,134,28087,"[143, 166, 175, 179, 180, 146, 134]",TypeScript,2023-05-24,"⏩ Create, share, and use custom AI code assistants with our open-source IDE extensions and hub of rules, tools, and models","ai,chatgpt,copilot,developer-tools,intellij,jetbrains,llm,open-source,openai,pycharm,software-development,visual-studio-code,vscode",644686905,3274,,,,,,,,,,,,,,,continuedev/continue
All-Hands-AI/OpenHands,-,AI Coding,132,61700,"[120, 127, 118, 131, 139, 135, 132]",Python,2024-03-13,"🙌 OpenHands: Code Less, Make More","agent,artificial-intelligence,chatgpt,claude-ai,cli,developer-tools,gpt,llm,openai",771302083,7333,,,,,,,,,,,,,,,All-Hands-AI/OpenHands
marimo-team/marimo,new,AI Coding,82,15068,"[62, 65, 73, 83, 85, 86, 82]",Python,2023-08-14,"A reactive notebook for Python — run reproducible experiments, query with SQL, execute as a script, deploy as an app, and version with git. All in a modern, AI-native editor.","artificial-intelligence,dag,data-science,data-visualization,dataflow,developer-tools,machine-learning,notebooks,pipeline,python,reactive,sql,web-app",678526156,623,,,,,,,,,,,,,,,marimo-team/marimo
openai/codex,new,AI Coding,81,35282,"[137, 130, 96, 81]",Rust,2025-04-13,Lightweight coding agent that runs in your terminal,,965415649,35282,,,,,,,,,,,,,,,openai/codex
yetone/avante.nvim,new,AI Coding,60,15439,"[57, 75, 89, 79, 81, 79, 60]",Lua,2024-08-14,Use your Neovim like using Cursor AI IDE!,,842586148,693,,,,,,,,,,,,,,,yetone/avante.nvim
triton-lang/triton,-,AI Compiler,122,16380,"[113, 116, 114, 114, 118, 122, 122]",MLIR,2014-08-30,Development repository for the Triton language and compiler,,23496542,2158,,"python 可以编译成在 GPu 架构上跑的算子, openai 推出的",,,,,,,,,,,,,triton-lang/triton
modular/modular,new,AI Compiler,98,24590,"[64, 59, 59, 75, 91, 90, 98]",Mojo,2023-04-28,The Modular Platform (includes MAX & Mojo),"ai,language,machine-learning,max,modular,mojo,programming-language",634043200,2680,,Mojo,,,,,,,,,,,,,modular/modular
rapidsai/cudf,new,AI Kernel Library,70,9098,"[72, 68, 70, 71, 75, 71, 70]",C++,2017-05-07,cuDF - GPU DataFrame Library,"arrow,cpp,cuda,cudf,dask,data-analysis,data-science,dataframe,gpu,pandas,pydata,python,rapids",90506918,962,,c++ 算法库,,,,,,,,,,,,,rapidsai/cudf
NVIDIA/TransformerEngine,new,AI Kernel Library,58,2598,"[43, 42, 55, 58, 58, 54, 58]",Python,2022-09-20,"A library for accelerating Transformer models on NVIDIA GPUs, including using 8-bit floating point (FP8) precision on Hopper, Ada and Blackwell GPUs, to provide better performance with lower memory utilization in both training and inference.","cuda,deep-learning,fp8,gpu,jax,machine-learning,python,pytorch",539057023,471,,提供fp8混合精度计算,,,,,,,,,,,,,NVIDIA/TransformerEngine
flashinfer-ai/flashinfer,-,AI Kernel Library,41,3471,"[25, 40, 34, 31, 26, 31, 41]",C++,2023-07-22,FlashInfer: Kernel Library for LLM Serving,"attention,cuda,distributed-inference,gpu,jit,large-large-models,llm-inference,moe,nvidia,pytorch",669331976,411,,,,,,,,,,,,,,,flashinfer-ai/flashinfer
NVIDIA/cutlass,-,AI Kernel Library,34,8169,"[35, 39, 34, 35, 37, 33, 34]",C++,2017-11-30,CUDA Templates for Linear Algebra Subroutines,"cpp,cuda,deep-learning,deep-learning-library,gpu,nvidia",112542515,1363,,,,,,,,,,,,,,,NVIDIA/cutlass
ml-explore/mlx,-,AI Kernel Library,31,21804,"[30, 34, 34, 37, 33, 30, 31]",C++,2023-11-28,MLX: An array framework for Apple silicon,mlx,724854743,1302,,,,,,,,,,,,,,,ml-explore/mlx
deepseek-ai/DeepEP,new,AI Kernel Library,26,8402,"[11, 21, 22, 20, 24, 27]",Cuda,2025-02-17,DeepEP: an efficient expert-parallel communication library,,933928679,8402,,,,,,,,,,,,,,,deepseek-ai/DeepEP
Dao-AILab/flash-attention,-,AI Kernel Library,22,18702,"[30, 30, 30, 36, 30, 25, 22]",Python,2022-05-19,Fast and memory-efficient exact attention,,494232964,1864,,gpt-oss也使用了,,,,,,,,,,,,,Dao-AILab/flash-attention
streamlit/streamlit,-,App Framework,84,40751,"[97, 101, 99, 104, 102, 91, 84]",Python,2019-08-24,Streamlit — A faster way to build and share data apps.,"data-analysis,data-science,data-visualization,deep-learning,developer-tools,machine-learning,python,streamlit",204086862,3634,,,,,,,,,,,,,,,streamlit/streamlit
gradio-app/gradio,-,App Framework,72,39322,"[99, 92, 88, 90, 83, 73, 72]",Python,2018-12-19,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!","data-analysis,data-science,data-visualization,deep-learning,deploy,gradio,gradio-interface,hacktoberfest,interface,machine-learning,models,python,python-notebook,ui,ui-components",162405963,3012,,,,,,,,,,,,,,,gradio-app/gradio
CherryHQ/cherry-studio,new,Chatbot & Knowledge Manegement,313,30976,"[86, 288, 356, 394, 377, 330, 313]",TypeScript,2024-05-24,🍒 Cherry Studio is a desktop client that supports for multiple LLM providers.,"agent,anthropic,assistant,chatbot,chatbotai,electron,llm,mcp-client,openai",805155266,2727,,,,,,,,,,,,,,,CherryHQ/cherry-studio
open-webui/open-webui,-,Chatbot & Knowledge Manegement,169,105134,"[200, 286, 249, 244, 255, 206, 169]",JavaScript,2023-10-06,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)","ai,llm,llm-ui,llm-webui,llms,mcp,ollama,ollama-webui,open-webui,openai,openapi,rag,self-hosted,ui,webui",701547123,14137,,,,,,,,,,,,,,,open-webui/open-webui
lobehub/lobe-chat,-,Chatbot & Knowledge Manegement,105,64080,"[125, 204, 186, 166, 144, 113, 105]",TypeScript,2023-05-21,"🤯 Lobe Chat - an open-source, modern design AI chat framework. Supports multiple AI providers (OpenAI / Claude 4 / Gemini / DeepSeek / Ollama / Qwen), Knowledge Base (file upload / RAG ), one click install MCP Marketplace and Artifacts / Thinking. One-click FREE deployment of your private AI Agent application.","agent,ai,artifacts,chat,chatgpt,claude,deepseek,deepseek-r1,function-calling,gemini,gpt,knowledge-base,mcp,nextjs,ollama,openai,rag",643445235,13314,,,,,,,,,,,,,,,lobehub/lobe-chat
