repo_name,status,classification,openrank_07,stars,trend,language,created_at,description,topics,repo_id,forks,,notes,,,,,,,,,,,,,repo_name
apache/spark,-,Distributed Compute,165,41604,"[221, 210, 192, 174, 165, 162, 165]",Scala,2014-02-25,Apache Spark - A unified analytics engine for large-scale data processing,"big-data,java,jdbc,python,r,scala,spark,sql",17165658,28717,,,,,,,,,,,,,,,apache/spark
volcano-sh/volcano,-,Distributed Compute,41,4859,"[37, 35, 41, 40, 44, 37, 41]",Go,2019-03-14,A Cloud Native Batch System (Project under CNCF),"ai,batch-systems,bigdata,gene,golang,hpc,kubernetes,machine-learning,serving,training",175592968,1176,,,,,,,,,,,,,,,volcano-sh/volcano
NVIDIA/NeMo,-,Distributed Training,149,15300,"[184, 186, 191, 212, 223, 184, 149]",Python,2019-08-05,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)","asr,deeplearning,generative-ai,large-language-models,machine-translation,multimodal,neural-networks,speaker-diariazation,speaker-recognition,speech-synthesis,speech-translation,tts",200722670,3032,,,,,,,,,,,,,,,NVIDIA/NeMo
deepspeedai/DeepSpeed,-,Distributed Training,43,39603,"[65, 65, 58, 50, 45, 47, 43]",Python,2020-01-23,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.","billion-parameters,compression,data-parallelism,deep-learning,gpu,inference,machine-learning,mixture-of-experts,model-parallelism,pipeline-parallelism,pytorch,trillion-parameters,zero",235860204,4500,,,,,,,,,,,,,,,deepspeedai/DeepSpeed
NVIDIA/Megatron-LM,-,Distributed Training,27,13065,"[14, 20, 22, 23, 21, 19, 27]",Python,2019-03-21,Ongoing research training transformer models at scale,"large-language-models,model-para,transformers",176982014,2972,,,,,,,,,,,,,,,NVIDIA/Megatron-LM
78/xiaozhi-esp32,new,Embodied Agent,50,17708,"[21, 39, 56, 57, 60, 53, 51]",C++,2024-08-31,An MCP-based chatbot | 一个基于MCP的聊天机器人,"chatbot,esp32,mcp",850267588,17708,,小智聊天机器人,,,,,,,,,,,,,78/xiaozhi-esp32
Genesis-Embodied-AI/Genesis,new,Embodied Agent,46,26957,"[95, 67, 52, 50, 47, 45, 46]",Python,2023-10-31,A generative world for general-purpose robotics & embodied AI learning.,,712225112,2448,,Super Agent,,,,,,,,,,,,,Genesis-Embodied-AI/Genesis
modelscope/ms-swift,new,Fine-tune,113,9063,"[86, 100, 120, 128, 135, 119, 113]",Python,2023-08-01,"Use PEFT or Full-parameter to CPT/SFT/DPO/GRPO 500+ LLMs (Qwen3, Qwen3-MoE, Llama4, GLM4.5, InternLM3, DeepSeek-R1, ...) and 200+ MLLMs (Qwen2.5-VL, Qwen2.5-Omni, Qwen2-Audio, Ovis2, InternVL3, Llava, GLM4v, Phi4, ...) (AAAI 2025).","deepseek-r1,deploy,embedding,grpo,internvl,liger,llama,llama4,llm,lora,megatron,multimodal,omni,open-r1,peft,qwen2-vl,qwen3,qwen3-moe,rft,sft",673412924,794,,,,,,,,,,,,,,,modelscope/ms-swift
unslothai/unsloth,-,Fine-tune,92,43178,"[66, 106, 134, 134, 117, 101, 92]",Python,2023-11-29,"Fine-tuning & Reinforcement Learning for LLMs. 🦥 Train Qwen3, Llama 4, DeepSeek-R1, Gemma 3, TTS 2x faster with 70% less VRAM.","agent,ai,deepseek,deepseek-r1,fine-tuning,gemma,gemma3,llama,llama3,llm,llms,lora,mistral,openai,pytorch,qwen,qwen3,text-to-speech,tts,unsloth",725205304,3471,,,,,,,,,,,,,,,unslothai/unsloth
hiyouga/LLaMA-Factory,-,Fine-tune,85,55513,"[125, 128, 138, 141, 128, 96, 85]",Python,2023-05-28,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),"agent,ai,deepseek,fine-tuning,gemma,gpt,instruction-tuning,large-language-models,llama,llama3,llm,lora,moe,nlp,peft,qlora,quantization,qwen,rlhf,transformers",646410686,6812,,,,,,,,,,,,,,,hiyouga/LLaMA-Factory
ollama/ollama,-,Inference Deploy,200,148664,"[281, 339, 327, 295, 273, 220, 200]",Go,2023-06-26,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models.","deepseek,gemma,gemma3,gemma3n,go,golang,llama,llama2,llama3,llava,llm,llms,mistral,ollama,phi4,qwen",658928958,12663,,端侧,,,,,,,,,,,,,ollama/ollama
ai-dynamo/dynamo,-,Inference Deploy,140,4642,"[39, 88, 110, 127, 140]",Rust,2025-03-03,A Datacenter Scale Distributed Inference Serving Framework,,942206898,512,,集群,,,,,,,,,,,,,ai-dynamo/dynamo
xorbitsai/inference,-,Inference Deploy,56,8328,"[53, 64, 68, 70, 76, 71, 56]",Python,2023-06-14,"Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop.","artificial-intelligence,chatglm,deployment,flan-t5,gemma,ggml,glm4,inference,llama,llama3,llamacpp,llm,machine-learning,mistral,openai-api,pytorch,qwen,vllm,whisper,wizardlm",653496050,722,,端侧,,,,,,,,,,,,,xorbitsai/inference
containers/ramalama,new,Inference Deploy,50,1961,"[38, 53, 49, 56, 52, 51, 50]",Python,2024-07-24,"RamaLama is an open-source developer tool that simplifies the local serving of AI models from any source and facilitates their use for inference in production, all through the familiar language of containers.","ai,containers,cuda,hip,inference-server,intel,llamacpp,llm,podman,vllm",833306239,228,,端侧,,,,,,,,,,,,,containers/ramalama
gpustack/gpustack,new,Inference Deploy,48,3204,"[35, 54, 56, 59, 55, 47, 48]",Python,2024-05-11,"Simple, scalable AI model deployment on GPU clusters","ascend,cuda,deepseek,distributed-inference,genai,heterogeneous-cluster,inference,llama,llamacpp,llm,llm-inference,llm-serving,local-ai,maas,metal,mindie,openai,qwen,rocm,vllm",799049436,324,,集群,,,,,,,,,,,,,gpustack/gpustack
vllm-project/vllm,-,Inference Engine,637,53912,"[490, 581, 668, 723, 709, 651, 637]",Python,2023-02-09,A high-throughput and memory-efficient inference and serving engine for LLMs,"amd,cuda,deepseek,gpt,hpu,inference,inferentia,llama,llm,llm-serving,llmops,mlops,model-serving,pytorch,qwen,rocm,tpu,trainium,transformer,xpu",599547518,9123,,paged attention；引擎在卷什么？更高性能的算子，更高效的调度，更大的模型支持，更多的并行算法；投机采样,,,,,,,,,,,,,vllm-project/vllm
sgl-project/sglang,-,Inference Engine,352,16555,"[180, 257, 302, 338, 365, 351, 352]",Python,2024-01-08,SGLang is a fast serving framework for large language models and vision language models.,"blackwell,cuda,deepseek,deepseek-r1,deepseek-v3,inference,kimi,llama,llama3,llama4,llama5,llava,llm,llm-serving,moe,openai,pytorch,qwen3,transformer,vlm",740303686,2518,,continous batching；pd分离，af分离,,,,,,,,,,,,,sgl-project/sglang
NVIDIA/TensorRT-LLM,-,Inference Engine,295,11219,"[69, 60, 92, 162, 211, 249, 295]",C++,2023-08-16,TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and support state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that orchestrate the inference execution in performant way.,"blackwell,cuda,llm-serving,moe,pytorch",679366051,1645,,,,,,,,,,,,,,,NVIDIA/TensorRT-LLM
ggml-org/llama.cpp,-,Inference Engine,239,83891,"[233, 236, 225, 236, 264, 241, 239]",C++,2023-03-10,LLM inference in C/C++,ggml,612354784,12548,,,,,,,,,,,,,,,ggml-org/llama.cpp
openvinotoolkit/openvino,-,Inference Engine,239,8668,"[275, 277, 281, 288, 259, 229, 239]",C++,2018-10-15,OpenVINO™ is an open source toolkit for optimizing and deploying AI inference,"ai,computer-vision,deep-learning,deploy-ai,diffusion-models,generative-ai,good-first-issue,inference,llm-inference,natural-language-processing,nlp,openvino,optimize-ai,performance-boost,recommendation-system,speech-recognition,stable-diffusion,transformers,yolo",153097643,2676,,Intel 的,,,,,,,,,,,,,openvinotoolkit/openvino
mlflow/mlflow,-,LLMOps,100,21449,"[90, 93, 94, 105, 104, 97, 100]",Python,2018-06-05,"The open source developer platform to build AI/LLM applications and models with confidence. Enhance your AI applications with end-to-end tracking, observability, and evaluations, all in one integrated platform.","agentops,agents,ai,ai-governance,apache-spark,evaluation,langchain,llm-evaluation,llmops,machine-learning,ml,mlflow,mlops,model-management,observability,open-source,openai,prompt-engineering",136202695,4730,,,,,,,,,,,,,,,mlflow/mlflow
1Panel-dev/1Panel,new,LLMOps,84,30455,"[64, 65, 63, 60, 70, 85, 84]",Go,2022-07-19,"🔥 1Panel provides an intuitive web interface and MCP Server to manage websites, files, containers, databases, and LLMs on a Linux server.","1panel,cockpit,docker,docker-ui,lamp,linux,lnmp,ollama,webmin",515647260,2660,,CNAI,,,,,,,,,,,,,1Panel-dev/1Panel
langfuse/langfuse,new,LLMOps,76,14616,"[68, 73, 77, 77, 72, 70, 76]",TypeScript,2023-05-18,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23","analytics,autogen,evaluation,langchain,large-language-models,llama-index,llm,llm-evaluation,llm-observability,llmops,monitoring,observability,open-source,openai,playground,prompt-engineering,prompt-management,self-hosted,ycombinator",642497346,1341,,,,,,,,,,,,,,,langfuse/langfuse
wandb/wandb,-,LLMOps,74,10184,"[92, 85, 74, 76, 74, 79, 74]",Python,2017-03-24,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production.","ai,collaboration,data-science,data-versioning,deep-learning,experiment-track,hyperparameter-optimization,hyperparameter-search,hyperparameter-tuning,jax,keras,machine-learning,ml-platform,mlops,model-versioning,pytorch,reinforcement-learning,reproducibility,tensorflow",86031674,763,,,,,,,,,,,,,,,wandb/wandb
comet-ml/opik,new,LLMOps,69,12161,"[51, 55, 58, 69, 75, 76, 69]",Python,2023-05-10,"Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.","langchain,llama-index,llm,llm-evaluation,llm-observability,llmops,open-source,openai,playground,prompt-engineering",638951438,840,,,,,,,,,,,,,,,comet-ml/opik
Arize-ai/phoenix,new,LLMOps,66,6543,"[53, 54, 50, 52, 60, 64, 66]",Jupyter Notebook,2022-11-09,AI Observability & Evaluation,"agents,ai-monitoring,ai-observability,aiengineering,anthropic,datasets,evals,langchain,llamaindex,llm-eval,llm-evaluation,llmops,llms,openai,prompt-engineering,smolagents",564072810,511,,,,,,,,,,,,,,,Arize-ai/phoenix
mlrun/mlrun,-,LLMOps,56,1564,"[56, 56, 51, 54, 55, 58, 56]",Python,2019-09-01,"MLRun is an open source MLOps platform for quickly building and managing continuous ML applications across their lifecycle. MLRun integrates into your development and CI/CD environment and automates the delivery of production data, ML pipelines, and online applications.","data-engineering,data-science,experiment-tracking,kubernetes,machine-learning,mlops,mlops-workflow,model-serving,python,workflow",205706595,271,,,,,,,,,,,,,,,mlrun/mlrun
promptfoo/promptfoo,new,LLMOps,47,7848,"[46, 52, 48, 51, 51, 50, 47]",TypeScript,2023-04-28,"Test your prompts, agents, and RAGs. AI Red teaming, pentesting, and vulnerability scanning for LLMs. Compare performance of GPT, Claude, Gemini, Llama, and more. Simple declarative configs with command line and CI/CD integration.","ci,ci-cd,cicd,evaluation,evaluation-framework,llm,llm-eval,llm-evaluation,llm-evaluation-framework,llmops,pentesting,prompt-engineering,prompt-testing,prompts,rag,red-teaming,testing,vulnerability-scanners",633927609,638,,,,,,,,,,,,,,,promptfoo/promptfoo
dagger/dagger,new,LLMOps,45,14426,"[65, 68, 67, 69, 64, 53, 45]",Go,2019-11-20,An open-source runtime for composable workflows. Great for AI agents and CI/CD.,"agents,ai,caching,ci-cd,containers,continuous-deployment,continuous-integration,dag,dagger,devops,docker,graphql,workflows",222824662,770,,"Runtime, CI/CD",,,,,,,,,,,,,dagger/dagger
agno-agi/agno,new,Multi-agent Framework,106,31212,"[65, 82, 95, 107, 111, 103, 106]",Python,2022-05-04,"Full-stack framework for building Multi-Agent Systems with memory, knowledge and reasoning.","agents,agi,ai,developer-tools,framework,python",488641606,3965,,,,,,,,,,,,,,,agno-agi/agno
camel-ai/camel,-,Multi-agent Framework,74,13710,"[47, 56, 70, 81, 82, 82, 74]",Python,2023-03-17,🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org,"agent,ai-societies,artificial-intelligence,communicative-ai,cooperative-ai,deep-learning,large-language-models,multi-agent-systems,natural-language-processing",615510678,1485,,,,,,,,,,,,,,,camel-ai/camel
openai/openai-agents-python,-,Multi-agent Framework,72,13225,"[64, 73, 70, 60, 72]",Python,2025-03-11,"A lightweight, powerful framework for multi-agent workflows","agents,ai,framework,llm,openai,python",946380199,2111,,swarm 发展过来的,,,,,,,,,,,,,openai/openai-agents-python
elizaOS/eliza,new,Multi-agent Framework,60,16537,"[293, 229, 163, 113, 88, 76, 60]",TypeScript,2024-07-09,Autonomous agents for everyone,"agent,agentic,ai,autonomous,chatbot,crypto,discord,eliza,elizaos,framework,plugins,rag,slack,swarm,telegram",826170402,5290,,,,,,,,,,,,,,,elizaOS/eliza
crewAIInc/crewAI,-,Multi-agent Framework,55,35260,"[70, 81, 80, 73, 72, 56, 55]",Python,2023-10-27,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","agents,ai,ai-agents,aiagentframework,llms",710601088,4716,,,,,,,,,,,,,,,crewAIInc/crewAI
volcengine/verl,-,Rienforce Learning,193,11805,"[21, 60, 112, 159, 176, 179, 193]",Python,2024-10-31,verl: Volcano Engine Reinforcement Learning for LLMs,,881221486,1997,,,,,,,,,,,,,,,volcengine/verl
OpenRLHF/OpenRLHF,-,Rienforce Learning,21,7565,"[35, 39, 47, 44, 34, 25, 21]",Python,2023-07-30,"An Easy-to-use, Scalable and High-performance RLHF Framework based on Ray (PPO & GRPO & REINFORCE++ & vLLM & Ray & Dynamic Sampling & Async Agentic RL)",,672415139,,,,,,,,,,,,,,,,OpenRLHF/OpenRLHF
inclusionAI/AReaL,new,Rienforce Learning,20,2267,"[2, 5, 7, 7, 17, 19]",Python,2025-02-24,Distributed RL System for LLM Reasoning,"llm,llm-reasoning,machine-learning-systems,mlsys,reinforcement-learning,rl",937952934,2267,,,,,,,,,,,,,,,inclusionAI/AReaL
pytorch/pytorch,-,Training Platform,859,92039,"[951, 929, 904, 925, 909, 907, 859]",Python,2016-08-13,Tensors and Dynamic neural networks in Python with strong GPU acceleration,"autograd,deep-learning,gpu,machine-learning,neural-network,numpy,python,tensor",65600975,24844,,,,,,,,,,,,,,,pytorch/pytorch
PaddlePaddle/Paddle,-,Training Platform,198,23102,"[242, 215, 209, 205, 199, 217, 198]",C++,2016-08-15,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）,"deep-learning,distributed-training,efficiency,machine-learning,neural-network,paddlepaddle,python,scalability",65711522,5775,,,,,,,,,,,,,,,PaddlePaddle/Paddle
jax-ml/jax,-,Training Platform,87,33002,"[100, 102, 101, 101, 93, 85, 87]",Python,2018-10-25,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more",jax,154739597,3121,,,,,,,,,,,,,,,jax-ml/jax
elastic/elasticsearch,,Vector Storage and Search,335,73665,,Java,2010-02-08,,,,,,,,,,,,,,,,,,,elastic/elasticsearch
milvus-io/milvus,-,Vector Storage and Search,142,36351,"[162, 154, 154, 152, 145, 134, 142]",Go,2019-09-16,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search","anns,cloud-native,diskann,distributed,embedding-database,embedding-similarity,embedding-store,faiss,golang,hnsw,image-search,llm,nearest-neighbor-search,rag,vector-database,vector-search,vector-similarity,vector-store",208728772,3331,,,,,,,,,,,,,,,milvus-io/milvus
opensearch-project/OpenSearch,,Vector Storage and Search,118,11446,,Java,2021-01-29,,,,,,,,,,,,,,,,,,,opensearch-project/OpenSearch
chroma-core/chroma,-,Vector Storage and Search,72,21455,"[65, 66, 67, 76, 74, 74, 72]",Rust,2022-10-05,Open-source search and retrieval database for AI applications.,"document-retrieval,embeddings,llms",546206616,1696,,,,,,,,,,,,,,,chroma-core/chroma
weaviate/weaviate,-,Vector Storage and Search,68,14098,"[72, 74, 72, 74, 77, 69, 68]",Go,2016-03-30,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.","approximate-nearest-neighbor-search,generative-search,grpc,hnsw,hybrid-search,image-search,information-retrieval,mlops,nearest-neighbor-search,neural-search,recommender-system,search-engine,semantic-search,semantic-search-engine,similarity-search,vector-database,vector-search,vector-search-engine,vectors,weaviate",55072677,1023,,,,,,,,,,,,,,,weaviate/weaviate
qdrant/qdrant,-,Vector Storage and Search,51,25100,"[59, 59, 60, 58, 57, 54, 51]",Rust,2020-05-30,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/","ai-search,ai-search-engine,embeddings-similarity,hnsw,image-search,knn-algorithm,machine-learning,mlops,nearest-neighbor-search,neural-network,neural-search,recommender-system,search,search-engine,search-engines,similarity-search,vector-database,vector-search,vector-search-engine",268163609,1734,,,,,,,,,,,,,,,qdrant/qdrant
