repo_name,status,classification,openrank_2505,stars,forks,language,created_at,description,repo_id,,,,,,,,,,,,,,,,,,
ml-explore/mlx,,AI Kernel Library,34,21101,1233,C++,2023-11-28,MLX: An array framework for Apple silicon,724854743,,,,,,,,,,,,,,,,,,ml-explore/mlx
flashinfer-ai/flashinfer,,AI Kernel Library,31,3190,337,Cuda,2023-07-22,FlashInfer: Kernel Library for LLM Serving,669331976,,,,,,,,,,,,,,,,,,flashinfer-ai/flashinfer
Dao-AILab/flash-attention,,AI Kernel Library,31,17887,1748,Python,2022-05-19,Fast and memory-efficient exact attention,494232964,,,,,,,,,,,,,,,,,,Dao-AILab/flash-attention
NVIDIA/nccl,x,AI Kernel Library,19,3791,936,C++,2015-11-14,Optimized primitives for collective multi-GPU communication,46153892,,,,,,,,,,,,,,,,,,NVIDIA/nccl
deepseek-ai/DeepEP,,AI Kernel Library,18,7883,802,Cuda,2025-02-17,DeepEP: an efficient expert-parallel communication library,933928679,,,,,,,,,,,,,,,,,,deepseek-ai/DeepEP
searxng/searxng,x,AI Search Engine,34,19745,2019,Python,2021-04-12,SearXNG is a free internet metasearch engine which aggregates results from various search services and databases. Users are neither tracked nor profiled.,357241735,,,,,,,,,,,,,,,,,,searxng/searxng
ItzCrazyKns/Perplexica,x,AI Search Engine,20,22394,2323,TypeScript,2024-04-09,Perplexica is an AI-powered search engine. It is an Open source alternative to Perplexity AI,784181462,,,,,,,,,,,,,,,,,,ItzCrazyKns/Perplexica
zaidmukaddam/scira,x,AI Search Engine,10,8319,1012,TypeScript,2024-08-07,Scira (Formerly MiniPerplx) is a minimalistic AI-powered search engine that helps you find information on the internet and cites it too. Powered by Vercel AI SDK! Search with models like xAI's Grok 3.,839372398,,,,,,,,,,,,,,,,,,zaidmukaddam/scira
BerriAI/litellm,,API Management,248,24201,3224,Python,2023-07-27,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, Replicate, Groq]",671269505,,,,,,,,,,,,,,,,,,BerriAI/litellm
modelcontextprotocol/servers,,API Management,80,54371,6211,JavaScript,2024-11-19,Model Context Protocol Servers,890668799,,,,,,,,,,,,,,,,,,modelcontextprotocol/servers
google/A2A,x,API Management,55,17111,1681,TypeScript,2025-03-25,An open protocol enabling communication and interoperability between opaque agentic applications.,954873280,,,,,,,,,,,,,,,,,,google/A2A
ComposioHQ/composio,x,API Management,26,25516,4420,Python,2024-02-23,Composio equips your AI agents & LLMs with 100+ high-quality integrations via function calling,762304524,,,,,,,,,,,,,,,,,,ComposioHQ/composio
songquanpeng/one-api,x,API Management,24,25729,5237,JavaScript,2023-04-22,"LLM API 管理 & 分发系统，支持 OpenAI、Azure、Anthropic Claude、Google Gemini、DeepSeek、字节豆包、ChatGLM、文心一言、讯飞星火、通义千问、360 智脑、腾讯混元等主流模型，统一 API 适配，可用于 key 管理与二次分发。单可执行文件，提供 Docker 镜像，一键部署，开箱即用。LLM API management & key redistribution system, unifying multiple providers under a single API. Single binary, Docker-ready, with an English UI.",631254164,,,,,,,,,,,,,,,,,,songquanpeng/one-api
streamlit/streamlit,,App Framework,101,39942,3508,Python,2019-08-24,Streamlit — A faster way to build and share data apps.,204086862,,,,,,,,,,,,,,,,,,streamlit/streamlit
gradio-app/gradio,,App Framework,90,38636,2950,Python,2018-12-19,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",162405963,,,,,,,,,,,,,,,,,,gradio-app/gradio
open-webui/open-webui,,Client Inferface,247,99256,13094,JavaScript,2023-10-06,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",701547123,,,,,,,,,,,,,,,,,,open-webui/open-webui
lobehub/lobe-chat,,Client Inferface,165,62578,13018,TypeScript,2023-05-21,"🤯 Lobe Chat - an open-source, modern design AI chat framework. Supports multiple AI providers (OpenAI / Claude 4 / Gemini / DeepSeek / Ollama / Qwen), Knowledge Base (file upload / knowledge management / RAG ), Multi-Modal (Plugins / Artifacts / MCP) and thinking. One-click FREE deployment of your private ChatGPT/ Claude / DeepSeek application.",643445235,,,,,,,,,,,,,,,,,,lobehub/lobe-chat
SillyTavern/SillyTavern,x,Client Inferface,48,15360,3444,JavaScript,2023-02-09,LLM Frontend for Power Users.,599524116,,,,,,,,,,,,,,,,,,SillyTavern/SillyTavern
ChatGPTNextWeb/NextChat,x,Client Inferface,36,83835,61107,TypeScript,2023-03-10,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,612344730,,,,,,,,,,,,,,,,,,ChatGPTNextWeb/NextChat
chatboxai/chatbox,x,Client Inferface,36,35324,3376,TypeScript,2023-03-06,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)",610260322,,,,,,,,,,,,,,,,,,chatboxai/chatbox
oobabooga/text-generation-webui,x,Client Inferface,28,43967,5670,Python,2022-12-21,"LLM UI with advanced features, easy setup, and multiple backend support.",580642043,,,,,,,,,,,,,,,,,,oobabooga/text-generation-webui
AUTOMATIC1111/stable-diffusion-webui,x,Client Inferface,16,153597,28560,Python,2022-08-22,Stable Diffusion web UI,527591471,,,,,,,,,,,,,,,,,,AUTOMATIC1111/stable-diffusion-webui
stackblitz/bolt.new,x,Coding Assistant,208,15021,12675,TypeScript,2024-09-24,"Prompt, run, edit, and deploy full-stack web applications",862449441,,,,,,,,,,,,,,,,,,stackblitz/bolt.new
continuedev/continue,,Coding Assistant,169,27104,2979,TypeScript,2023-05-24,"⏩ Create, share, and use custom AI code assistants with our open-source IDE extensions and hub of models, rules, prompts, docs, and other building blocks",644686905,,,,,,,,,,,,,,,,,,continuedev/continue
cline/cline,,Coding Assistant,147,45827,5720,TypeScript,2024-07-06,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",824874689,,,,,,,,,,,,,,,,,,cline/cline
All-Hands-AI/OpenHands,,Coding Assistant,127,58364,6701,Python,2024-03-13,"🙌 OpenHands: Code Less, Make More",771302083,,,,,,,,,,,,,,,,,,All-Hands-AI/OpenHands
Aider-AI/aider,x,Coding Assistant,116,34453,3156,Python,2023-05-09,aider is AI pair programming in your terminal,638629097,,,,,,,,,,,,,,,,,,Aider-AI/aider
sourcegraph/cody,x,Coding Assistant,110,3703,428,TypeScript,2023-07-10,"Type less, code more: Cody is an AI code assistant that uses advanced search and codebase context to help you write and fix code.",664592117,,,,,,,,,,,,,,,,,,sourcegraph/cody
TabbyML/tabby,x,Coding Assistant,39,31428,1502,Rust,2023-03-16,Self-hosted AI coding assistant,614764248,,,,,,,,,,,,,,,,,,TabbyML/tabby
qodo-ai/pr-agent,x,Coding Assistant,27,8151,935,Python,2023-07-05,"🚀 PR-Agent (Qodo Merge open-source): An AI-Powered 🤖 Tool for Automated Pull Request Analysis, Feedback, Suggestions and More! 💻🔍",662766482,,,,,,,,,,,,,,,,,,qodo-ai/pr-agent
apache/airflow,,Data Integration,280,40597,15170,Python,2015-04-13,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",33884891,,,,,,,,,,,,,,,,,,apache/airflow
airbytehq/airbyte,,Data Integration,201,18450,4585,Python,2020-07-27,"The leading data integration platform for ETL / ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted.",283046497,,,,,,,,,,,,,,,,,,airbytehq/airbyte
dagster-io/dagster,,Data Integration,172,13390,1712,Python,2018-04-30,"An orchestration platform for the development, production, and observation of data assets.",131619646,,,,,,,,,,,,,,,,,,dagster-io/dagster
