repo_name,status,classification,openrank_2505,stars,forks,language,created_at,description,repo_id,,,,,,,,,,,,,,,,,,
unitycatalog/unitycatalog,x,Unstructured Data Governance - Catalog,23,2929,482,Python,2024-06-13,"Open, Multi-modal Catalog for Data & AI",814708478,,,,,,,,,,,,,,,,,,unitycatalog/unitycatalog
apache/iceberg,,Unstructured Data Governance - Lake Format,129,7593,2615,Java,2018-11-19,Apache Iceberg,158256479,,,,,,,,,,,,,,,,,,apache/iceberg
apache/hudi,,Unstructured Data Governance - Lake Format,87,5840,2413,Java,2016-12-14,"Upserts, Deletes And Incremental Processing on Big Data.",76474200,,,,,,,,,,,,,,,,,,apache/hudi
apache/paimon,,Unstructured Data Governance - Lake Format,80,2845,1134,Java,2022-01-12,Apache Paimon is a lake format that enables building a Realtime Lakehouse Architecture with Flink and Spark for both streaming and batch operations.,447060287,,,,,,,,,,,,,,,,,,apache/paimon
delta-io/delta,,Unstructured Data Governance - Lake Format,67,8083,1848,Scala,2019-04-22,"An open-source storage framework that enables building a Lakehouse architecture with compute engines including Spark, PrestoDB, Flink, Trino, and Hive and APIs",182849188,,,,,,,,,,,,,,,,,,delta-io/delta
elastic/elasticsearch,,Vector Storage and Search,349,72978,25265,Java,2010-02-08,"Free and Open Source, Distributed, RESTful Search Engine",507775,,,,,,,,,,,,,,,,,,elastic/elasticsearch
milvus-io/milvus,,Vector Storage and Search,153,35444,3259,Go,2019-09-16,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",208728772,,,,,,,,,,,,,,,,,,milvus-io/milvus
opensearch-project/OpenSearch,,Vector Storage and Search,117,10957,2173,Java,2021-01-29,🔎 Open source distributed and RESTful search engine.,334274271,,,,,,,,,,,,,,,,,,opensearch-project/OpenSearch
weaviate/weaviate,,Vector Storage and Search,74,13661,971,Go,2016-03-30,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",55072677,,,,,,,,,,,,,,,,,,weaviate/weaviate
chroma-core/chroma,,Vector Storage and Search,70,20525,1650,Rust,2022-10-05,the AI-native open-source embedding database,546206616,,,,,,,,,,,,,,,,,,chroma-core/chroma
qdrant/qdrant,,Vector Storage and Search,58,24215,1658,Rust,2020-05-30,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",268163609,,,,,,,,,,,,,,,,,,qdrant/qdrant
lancedb/lancedb,x,Vector Storage and Search,29,6662,498,Rust,2023-02-28,"Developer-friendly, embedded retrieval engine for multimodal AI. Search More; Manage Less.",607441698,,,,,,,,,,,,,,,,,,lancedb/lancedb
pgvector/pgvector,x,Vector Storage and Search,10,16134,789,C,2021-04-20,Open-source vector similarity search for Postgres,359952601,,,,,,,,,,,,,,,,,,pgvector/pgvector
